DME flowrate,Carbon efficiency,CAPEX,OPEX,LCP,Energy efficiency
2.967050311,72.45839519,128252822,177099446.9,2.248819384,73.6223228
2.967051282,72.45844801,128145713.1,178832209.1,2.268949246,71.83144847
2.921147172,71.34776365,173718225.6,181714480.8,2.402492194,69.64863904
3.960158137,96.91854876,147192226.1,235639852.2,2.217653057,71.00762951
3.844185183,94.02166191,179033052.4,236508518.7,2.326183551,69.20809806
3.868984794,94.61890889,175066300.5,236329002.3,2.305480474,69.66022269
3.681137671,89.98400871,182824110.6,233271993.2,2.402888306,68.73353738
3.868729825,94.6126743,175055063.8,236327370.2,2.305605923,69.65653224
3.8765579,94.80460513,169057462.2,237059407.8,2.301196997,69.10663547
3.868981843,94.61878244,176041799.6,236959439.3,2.312168412,69.23230496
3.868987938,94.61898506,171436288.7,237402589.5,2.311286962,68.79263994
3.868981326,94.61888638,175120731.2,235542557.8,2.298481962,70.23621486
3.868985948,94.61893796,177004800.7,234330061.8,2.289583745,71.19545819
3.868974744,94.61868555,174723964.9,235781223.8,2.300209539,70.04961478
3.868977198,94.61872173,173454976.2,238975837.6,2.327540515,67.75140799
3.868991683,94.61906551,174690429.5,236002446.6,2.302149478,69.88723872
3.868985634,94.61893303,175066485.2,236329015.4,2.305480286,69.66023384
2.631725958,64.28169488,148146070.8,180712249.7,2.613850646,66.47020372
2.838062487,69.3290634,154483741.2,194842615.2,2.605800349,66.12214573
2.787547605,68.0835974,140123627.3,181766542.2,2.469133354,68.939472
2.714238408,66.29404216,141748826.3,181178697.7,2.530744457,67.79937714
2.469155941,60.3101713,161856344.7,179373061.4,2.789761344,64.18994138
2.913401701,71.15647079,135110616.5,183749223.3,2.379083014,69.81854562
2.631800604,64.28356011,148076656.9,180707875.7,2.613611232,66.47389345
2.629368426,64.22388427,145596211.7,180961344.6,2.615528566,66.07568441
2.631711304,64.28132187,146284686.7,179515288.7,2.595188105,67.58585908
2.631722184,64.28164494,148322019.3,180447075.1,2.610628426,66.73522576
2.63172123,64.28163527,148119489.7,180525927.4,2.611355863,66.65051973
2.631720814,64.28160997,147701830.6,184895876.8,2.668364962,62.62692912
2.631726896,64.28175632,148272944.8,180907089.8,2.616616997,66.2862692
2.631750149,64.28233245,149115087,176659849,2.56186262,70.69430005
2.631719311,64.28157243,148150745.5,180711691.7,2.613857131,66.47075912
2.16703426,52.93472993,199880813,176443326,3.203322735,60.45777151
2.418475413,59.08016303,204643940.4,189860562,3.070948146,62.30812822
2.861329885,69.89523864,162862528,192333688.6,2.56610791,69.27020097
3.298104264,80.56304261,122272376.6,193476199.5,2.188107445,76.71567388
1.806623631,44.1356458,228601575,184051146.4,4.053421462,51.99954115
2.291800641,55.98706654,211396453.5,189924777.7,3.253678358,59.26324698
2.269758211,55.44888616,214861566.9,189671250.7,3.287623947,59.04503394
2.267739214,55.39942164,216223275.5,190616862.8,3.30747858,58.20640169
2.267754714,55.39977011,214618164.7,190054258.9,3.295955066,58.64656024
2.267759243,55.39990232,215204016.3,189625564.5,3.290438266,59.04504613
2.267756419,55.39981026,215298116.7,189087175.8,3.282368185,59.53079289
2.267764971,55.40000311,213723622.8,189739784.6,3.289516389,58.89363578
2.267756036,55.39979866,207262652.9,196972330.5,3.388649034,52.94556368
2.26775078,55.39966884,213663984.2,189776801.8,3.289996499,58.85852446
2.26775595,55.39979654,213662204.2,189777217.3,3.289992159,58.85822949
3.908705733,95.65604586,149510978.9,234989264.8,2.243485311,73.28835179
3.925898759,96.14653476,175786177.8,248756396.9,2.382718511,70.20477801
3.858585941,94.38496586,152577848.2,234856831.7,2.274676206,72.53163737
3.917568728,95.87907671,147901058.8,234967879,2.236544131,73.42366757
3.788358296,92.65383146,161016834.2,234888441.7,2.326218527,71.4531252
3.505787654,85.68089479,166049293.4,229069747.5,2.461939169,70.84281659
3.90746308,95.62456819,149524617.1,234982056.5,2.244148967,73.27086242
3.910944133,95.71091928,150567579.9,234769519.7,2.241352182,73.53754574
3.908708014,95.65608638,150744857,235790260.8,2.251886953,72.69216449
3.908680799,95.65543119,147683567.9,235941896.6,2.250055408,72.48554138
3.908685033,95.65553473,149618580,234557260.6,2.239771823,73.63555095
3.908677187,95.65534174,151103322.4,233051184.8,2.227946527,74.9086826
3.908694042,95.65575703,149519959.7,235118154.4,2.244646362,73.18629869
3.908688793,95.65563148,148598116,266014763.2,2.518152658,54.84795006
3.908736143,95.65681351,149542591.4,235049048,2.24403191,73.2425048
2.907188837,71.0442921,198638524.6,235258776.6,3.088497907,55.73231733
3.243046983,79.27172086,201066798.7,250636794.1,2.936346358,57.5769555
