samples,DME flowrate,Carbon efficiency,CAPEX,OPEX,LCP,Energy efficiency
207,3.116456578,76.14282396,149980634.4,143006146.4,1.789590501,73.97145909
208,3.116419058,76.14195092,150224303.3,142350709.2,1.78262825,74.70727966
209,3.116453784,76.14270133,150963768.4,143365825.8,1.794886117,73.61962511
210,3.116457364,76.14290009,150546689.0,102668203.6,1.340902897,74.93389323
211,3.116457252,76.14288775,150546501.6,143924992.7,1.800568046,74.93389068
212,3.116457394,76.142892,150546517.9,142645367.1,1.78631095,74.93389325
213,3.116434973,76.14234268,148221709.1,145211183.9,1.811868766,71.55872288
214,3.116422075,76.14204532,150306591.0,141738525.6,1.77591345,75.40249311
215,3.116455755,76.14287143,150546903.8,142162043.6,1.78092741,74.93386024
216,3.251952891,79.45722613,176608766.0,153938892.9,1.865153739,68.11715749
217,3.194261422,78.0443799,172666136.4,150520717.2,1.856650036,68.5945458
218,3.29978393,80.63008289,178482626.1,154222708.3,1.843420475,68.92869058
219,1.960646078,47.90266044,254650712.7,144400366.8,3.086984558,48.65290566
220,3.251951956,79.45721173,176609383.0,153938902.9,1.865155155,68.11715724
221,3.974235437,97.27521094,160633296.5,164948954.1,1.60597697,73.0078747
222,3.34385009,81.70398852,171837292.9,154499715.6,1.813898555,69.39561102
223,3.251902431,79.45599704,176319841.9,153938592.6,1.864817113,68.10743539
224,3.251916771,79.45632798,174101110.8,153014243.1,1.852156514,68.79228395
225,3.251952541,79.45722291,178695355.9,153147201.5,1.859317688,68.82649473
226,3.251952168,79.45720115,176527452.9,154187207.6,1.867703516,67.91523806
227,3.251950869,79.4571829,176090313.5,154482380.7,1.870307687,67.66638281
228,3.251954533,79.45723407,176557554.8,153947646.9,1.86518204,68.10853963
229,3.251953053,79.45721378,176608446.6,201309666.1,2.370947298,68.11718998
230,3.251952022,79.45721334,176609376.6,154740253.5,1.873711409,68.11715586
231,3.251952022,79.45721335,176609376.6,153881691.1,1.86454424,68.1171564
232,3.251944086,79.45701719,175063222.9,156609058.6,1.891730787,65.98733908
233,3.251929012,79.45666393,177074639.6,154441277.1,1.871115887,67.72863439
234,3.609405748,88.21167956,204403846.0,221719312.2,2.363890504,62.34821758
235,3.621246679,88.48401654,186833386.7,216157465.9,2.283042455,63.96402051
236,3.956395829,96.82132165,133183264.8,214559786.1,2.020317337,69.60041137
237,3.56223429,87.04521143,192802941.2,216395839.8,2.330021747,62.93198228
238,1.97801436,48.32699076,248303763.0,191330281.9,3.870603515,47.6989368
