formulation,productivity,capex,opex,batches,batch time,cycle time,cost
3.218574905,0.075066803,61907779.06,229939.5062,172,449915.0826,163628.2031,3063.131725
3.218574905,0.075066803,61998648.5,230398.1943,172,445588.4246,163628.2031,3069.242124
3.218574905,0.075066803,62038790.97,230918.8044,172,451197.5666,163628.2031,3076.177414
2.971171929,0.069295393,62038890.57,230927.3434,172,451197.5666,163628.2031,3332.506437
2.858684415,0.075066803,64760458.03,242445.3931,172,451197.5666,163628.2031,3229.728494
3.218574905,0.075066803,62038790.58,230918.7699,172,451197.5666,163628.2031,3076.176954
2.638940014,0.063750623,57269973.8,191187.8565,233,379224.2986,121203.0469,2998.995905
2.638940014,0.063750623,57525641.52,185426.4698,256,358613.5608,110126.9261,2908.622094
2.638940014,0.063866229,57310197.56,191143.9538,233,373560.8931,121203.0469,2992.879904
2.638940014,0.058795924,55391791.53,183628.7372,233,374709.5054,121203.0469,3123.15423
2.638940014,0.063596888,57226787.11,190766.8063,233,373629.5758,121203.0469,2999.624842
2.638940014,0.063596888,56584052.01,213123.9626,172,439637.8923,163628.2031,3351.169657
2.638940014,0.063754942,57239377.79,190954.2354,233,373572.1106,121203.0469,2995.128363
2.638940014,0.079382255,63408873.33,214593.2425,233,371630.4425,121203.0469,2703.28982
2.638940014,0.06341738,57155528.39,190498.5617,233,373668.3871,121203.0469,3003.885691
2.638940014,0.063754942,57282458.7,191010.7584,233,373612.96,121203.0469,2996.014929
2.638940014,0.063754942,62630640.15,211054.9299,223,389644.8309,126175.2334,3310.408933
2.638940014,0.063754942,57278466.34,190994.2975,233,373595.5985,121203.0469,2995.75674
2.638940014,0.063754942,57371489.79,191457.7489,233,374112.695,121203.0469,3003.026002
2.638940014,0.063754942,57296082.27,191237.241,233,376268.6021,121203.0469,2999.567323
2.638940014,0.063754942,57282356.61,190997.3941,233,373595.5985,121203.0469,2995.80531
2.858684415,0.069064904,57273438.55,190982.2892,233,373595.5985,121203.0469,2765.258146
2.971171929,0.063754942,54758684.27,181063.3218,233,373595.5985,121203.0469,2839.988804
2.638940014,0.063754942,57282356.57,190997.392,233,373595.5985,121203.0469,2995.805277
2.638940014,0.063754942,57282356.61,190997.3945,233,373595.5985,121203.0469,2995.805316
2.62481739,0.049024172,50424268.21,178971.3888,186,404761.0708,151118.2031,3650.676451
2.62481739,0.049024172,50425654.47,179675.5206,186,423973.1322,151118.2031,3665.039402
2.62481739,0.049008403,50416293.19,180035.3217,186,419750.6842,151118.2031,3673.560258
2.62481739,0.048955305,50391965.43,178857.7247,186,404786.2206,151118.2031,3653.490118
2.62481739,0.062426678,55716592.79,199932.1103,187,401020.7305,151118.2031,3202.670988
2.62481739,0.049022549,50416446.8,178961.1264,186,404761.6626,151118.2031,3650.587946
2.62481739,0.049022549,50925616.39,160441.9831,246,338745.0754,114729.3755,3272.820088
2.62481739,0.049022549,50234056.58,178712.4314,186,404579.0347,151118.2031,3645.514872
2.62481739,0.093005761,66568695.8,247396.0802,187,396921.324,151118.2031,2660.00812
2.62481739,0.049270274,50518737.68,179355.2652,186,404671.6878,151118.2031,3640.232788
2.62481739,0.049024172,50383772.36,178903.1195,186,404697.0143,151118.2031,3649.283887
2.62481739,0.049024172,55991151.72,196644.3126,186,429257.0047,151118.2031,4011.170534
2.62481739,0.049024172,50416478.45,178963.0913,186,404761.0708,151118.2031,3650.507198
2.62481739,0.049024172,50682130.43,180287.524,186,407368.9094,151118.2031,3677.523108
2.62481739,0.049024172,50382339.94,178261.4756,187,399753.921,151118.2031,3636.19557
2.62481739,0.049024172,50416478.45,178963.0915,186,404761.0708,151118.2031,3650.507202
2.120161931,0.040137597,50667231.94,179982.9437,186,404761.0708,151118.2031,4484.148466
3.516727337,0.049024172,45443932.92,160147.9457,186,404761.0708,151118.2031,3266.713959
2.62481739,0.049024172,50416478.39,178963.0867,186,404761.0708,151118.2031,3650.507105
2.850908561,0.056979951,59017978.47,189095.6919,233,360861.9163,121278.348,3318.635541
2.850908561,0.056979951,59022017.64,188711.4957,233,365091.7016,121278.348,3311.892885
2.850908561,0.056979951,59040919.01,190002.0459,232,380073.9656,121278.348,3334.542082
